pianist_id,segment_id,annotator_id,arousal,valence,gems_wonder,gems_transcendence,gems_tenderness,gems_nostalgia,gems_peacefulness,gems_power,gems_joyful_activation,gems_tension,gems_sadness,gemmes_flow,gemmes_movement,gemmes_force,gemmes_interior,gemmes_wandering,label
1.0,0.0,91.0,1.0,-1.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,sad
1.0,0.0,19.0,2.0,-1.0,3.0,3.0,3.0,4.0,4.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,sad
1.0,0.0,189.0,2.0,0.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,sad
1.0,0.0,126.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0,2.0,4.0,1.0,3.0,5.0,1.0,2.0,2.0,5.0,relaxed
1.0,0.0,26.0,4.0,2.0,3.0,5.0,2.0,3.0,3.0,1.0,3.0,4.0,1.0,4.0,1.0,2.0,3.0,1.0,happy
1.0,0.0,8.0,2.0,-1.0,3.0,4.0,4.0,5.0,3.0,2.0,1.0,3.0,4.0,4.0,1.0,1.0,2.0,4.0,sad
1.0,0.0,161.0,3.0,0.0,5.0,3.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,angry
1.0,0.0,181.0,4.0,0.0,3.0,3.0,2.0,4.0,4.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,4.0,4.0,angry
1.0,0.0,53.0,4.0,1.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,happy
1.0,0.0,119.0,4.0,0.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,angry
1.0,0.0,105.0,4.0,0.0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,5.0,3.0,1.0,5.0,5.0,angry
1.0,1.0,82.0,4.0,1.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,1.0,5.0,4.0,2.0,2.0,1.0,happy
1.0,1.0,173.0,3.0,-1.0,3.0,4.0,2.0,3.0,3.0,1.0,1.0,4.0,3.0,4.0,3.0,1.0,3.0,4.0,angry
1.0,1.0,62.0,5.0,-1.0,4.0,5.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,5.0,4.0,2.0,1.0,angry
1.0,1.0,61.0,4.0,0.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,angry
1.0,1.0,187.0,4.0,-1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,3.0,1.0,4.0,3.0,4.0,2.0,angry
1.0,1.0,172.0,5.0,1.0,4.0,4.0,2.0,3.0,2.0,4.0,5.0,1.0,2.0,4.0,5.0,4.0,2.0,2.0,happy
1.0,1.0,94.0,4.0,0.0,4.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,4.0,4.0,1.0,2.0,2.0,angry
1.0,1.0,31.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,5.0,2.0,1.0,2.0,relaxed
1.0,2.0,91.0,3.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,5.0,2.0,1.0,1.0,angry
1.0,2.0,19.0,4.0,1.0,4.0,4.0,2.0,2.0,1.0,5.0,5.0,3.0,1.0,5.0,5.0,4.0,2.0,1.0,happy
1.0,2.0,189.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,4.0,5.0,2.0,1.0,2.0,sad
1.0,2.0,126.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,3.0,1.0,3.0,happy
1.0,2.0,26.0,4.0,2.0,4.0,3.0,2.0,1.0,3.0,3.0,4.0,2.0,1.0,3.0,4.0,4.0,2.0,4.0,happy
1.0,2.0,8.0,3.0,0.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,2.0,3.0,4.0,2.0,angry
1.0,2.0,161.0,2.0,-1.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,5.0,2.0,2.0,4.0,2.0,3.0,2.0,sad
1.0,2.0,181.0,2.0,-1.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,sad
1.0,2.0,53.0,2.0,-1.0,2.0,2.0,1.0,1.0,1.0,5.0,3.0,4.0,3.0,3.0,5.0,4.0,2.0,2.0,sad
1.0,2.0,119.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,happy
1.0,2.0,105.0,4.0,0.0,4.0,2.0,1.0,1.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,angry
1.0,3.0,82.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,3.0,1.0,1.0,4.0,1.0,2.0,sad
1.0,3.0,173.0,3.0,-1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,5.0,3.0,2.0,3.0,2.0,2.0,2.0,angry
1.0,3.0,62.0,5.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,3.0,3.0,1.0,5.0,5.0,4.0,1.0,1.0,angry
1.0,3.0,61.0,3.0,1.0,5.0,2.0,3.0,5.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,4.0,happy
